method,seed,checkpoint,cumulative_accuracy,window_accuracy,action_0_accuracy,action_1_accuracy,action_2_accuracy,action_3_accuracy
compounding,42,50,0.3,0.3,0.125,0.25,0.304348,0.4
compounding,42,100,0.37,0.44,0.055556,0.076923,0.617021,0.272727
compounding,42,200,0.47,0.57,0.222222,0.038462,0.767442,0.365385
compounding,42,500,0.596,0.68,0.452632,0.109756,0.80791,0.705479
compounding,42,1000,0.661,0.726,0.663102,0.075,0.775758,0.832817
compounding,42,2000,0.7,0.739,0.787062,0.070988,0.803738,0.85822
compounding,42,5000,0.714,0.723333,0.85977,0.08548,0.815085,0.863358
compounding,123,50,0.32,0.32,0.375,0.2,0.235294,0.6
compounding,123,100,0.37,0.42,0.384615,0.115385,0.151515,0.857143
compounding,123,200,0.445,0.52,0.357143,0.325581,0.25,0.786885
compounding,123,500,0.546,0.613333,0.421687,0.234694,0.634286,0.722222
compounding,123,1000,0.626,0.706,0.616766,0.305556,0.651026,0.788462
compounding,123,2000,0.679,0.732,0.694767,0.26284,0.728659,0.828102
compounding,123,5000,0.6992,0.712667,0.799766,0.144812,0.779963,0.862972
compounding,456,50,0.22,0.22,0.0,0.090909,0.368421,0.25
compounding,456,100,0.35,0.48,0.0,0.222222,0.4,0.515152
compounding,456,200,0.4,0.45,0.133333,0.268293,0.451613,0.552239
compounding,456,500,0.516,0.593333,0.527027,0.135417,0.474684,0.761628
compounding,456,1000,0.574,0.632,0.637584,0.067358,0.579618,0.825581
compounding,456,2000,0.6475,0.721,0.772575,0.072626,0.707621,0.832857
compounding,456,5000,0.6866,0.712667,0.830635,0.037204,0.779084,0.87013
compounding,789,50,0.26,0.26,0.555556,0.166667,0.111111,0.294118
compounding,789,100,0.32,0.38,0.375,0.142857,0.0625,0.578947
compounding,789,200,0.385,0.45,0.393939,0.115385,0.076923,0.736842
compounding,789,500,0.528,0.623333,0.718447,0.092308,0.368421,0.751553
compounding,789,1000,0.598,0.668,0.815385,0.070513,0.564955,0.757862
compounding,789,2000,0.6355,0.673,0.854054,0.056818,0.673913,0.790221
compounding,789,5000,0.688,0.723,0.876014,0.085181,0.761934,0.829034
compounding,1024,50,0.2,0.2,0.166667,0.166667,0.347826,0.0
compounding,1024,100,0.3,0.4,0.111111,0.083333,0.627907,0.0
compounding,1024,200,0.305,0.31,0.264706,0.16129,0.605634,0.0625
compounding,1024,500,0.464,0.57,0.583333,0.197368,0.734463,0.233129
compounding,1024,1000,0.544,0.624,0.755952,0.115152,0.717647,0.470948
compounding,1024,2000,0.6335,0.723,0.845659,0.081818,0.754074,0.684211
compounding,1024,5000,0.6872,0.723,0.904294,0.043796,0.782477,0.800937
compounding,2048,50,0.3,0.3,0.25,0.25,0.333333,0.315789
compounding,2048,100,0.38,0.46,0.5,0.111111,0.3,0.527778
compounding,2048,200,0.405,0.43,0.612903,0.071429,0.409091,0.52459
compounding,2048,500,0.524,0.603333,0.567568,0.102041,0.511905,0.775
compounding,2048,1000,0.594,0.664,0.633987,0.059459,0.629412,0.84472
compounding,2048,2000,0.6615,0.729,0.757009,0.058824,0.734724,0.869432
compounding,2048,5000,0.6982,0.722667,0.856115,0.047297,0.794471,0.875465
compounding,3072,50,0.32,0.32,0.181818,0.0,0.45,0.357143
compounding,3072,100,0.39,0.46,0.423077,0.090909,0.5,0.333333
compounding,3072,200,0.38,0.37,0.361111,0.15625,0.416667,0.466667
compounding,3072,500,0.504,0.586667,0.563218,0.1,0.468354,0.691429
compounding,3072,1000,0.574,0.644,0.741573,0.066265,0.61791,0.697819
compounding,3072,2000,0.6395,0.705,0.799419,0.050147,0.693038,0.80146
compounding,3072,5000,0.6746,0.698,0.862745,0.047297,0.769328,0.821236
compounding,4096,50,0.26,0.26,0.0,0.0,0.625,0.157895
compounding,4096,100,0.38,0.5,0.071429,0.0,0.5625,0.475
compounding,4096,200,0.485,0.59,0.5625,0.038462,0.514286,0.583333
