pipeline,seed,domain_pair,top_k,n_discovered,true_pos,false_pos,false_neg,precision,recall,f1
raw,42,secxthr,1,200,0,200,20,0.0,0.0,0.0
raw,42,secxthr,2,400,0,400,20,0.0,0.0,0.0
raw,42,decxthr,1,300,0,300,15,0.0,0.0,0.0
raw,42,decxthr,2,600,0,600,15,0.0,0.0,0.0
raw,42,secxdec,1,200,0,200,15,0.0,0.0,0.0
raw,42,secxdec,2,400,0,400,15,0.0,0.0,0.0
raw,123,secxthr,1,200,0,200,20,0.0,0.0,0.0
raw,123,secxthr,2,400,0,400,20,0.0,0.0,0.0
raw,123,decxthr,1,300,0,300,15,0.0,0.0,0.0
raw,123,decxthr,2,600,0,600,15,0.0,0.0,0.0
raw,123,secxdec,1,200,0,200,15,0.0,0.0,0.0
raw,123,secxdec,2,400,0,400,15,0.0,0.0,0.0
raw,456,secxthr,1,200,0,200,20,0.0,0.0,0.0
raw,456,secxthr,2,400,0,400,20,0.0,0.0,0.0
raw,456,decxthr,1,300,0,300,15,0.0,0.0,0.0
raw,456,decxthr,2,600,0,600,15,0.0,0.0,0.0
raw,456,secxdec,1,200,0,200,15,0.0,0.0,0.0
raw,456,secxdec,2,400,0,400,15,0.0,0.0,0.0
raw,789,secxthr,1,200,0,200,20,0.0,0.0,0.0
raw,789,secxthr,2,400,0,400,20,0.0,0.0,0.0
raw,789,decxthr,1,300,0,300,15,0.0,0.0,0.0
raw,789,decxthr,2,600,0,600,15,0.0,0.0,0.0
raw,789,secxdec,1,200,0,200,15,0.0,0.0,0.0
raw,789,secxdec,2,400,0,400,15,0.0,0.0,0.0
raw,1024,secxthr,1,200,0,200,20,0.0,0.0,0.0
raw,1024,secxthr,2,400,0,400,20,0.0,0.0,0.0
raw,1024,decxthr,1,300,0,300,15,0.0,0.0,0.0
raw,1024,decxthr,2,600,0,600,15,0.0,0.0,0.0
raw,1024,secxdec,1,200,0,200,15,0.0,0.0,0.0
raw,1024,secxdec,2,400,0,400,15,0.0,0.0,0.0
raw,2048,secxthr,1,200,0,200,20,0.0,0.0,0.0
raw,2048,secxthr,2,400,0,400,20,0.0,0.0,0.0
raw,2048,decxthr,1,300,0,300,15,0.0,0.0,0.0
raw,2048,decxthr,2,600,0,600,15,0.0,0.0,0.0
raw,2048,secxdec,1,200,0,200,15,0.0,0.0,0.0
raw,2048,secxdec,2,400,0,400,15,0.0,0.0,0.0
raw,3072,secxthr,1,200,0,200,20,0.0,0.0,0.0
raw,3072,secxthr,2,400,0,400,20,0.0,0.0,0.0
raw,3072,decxthr,1,300,0,300,15,0.0,0.0,0.0
