method,seed,domain_pair,theta_logit,top_k,threshold,n_discovered,true_pos,false_pos,false_neg,precision,recall,f1
two_stage,42,secxthr,0.01,1,,200,7,193,13,0.035,0.35,0.0636
two_stage,42,secxthr,0.01,2,,400,12,388,8,0.03,0.6,0.0571
two_stage,42,secxthr,0.01,3,,600,16,584,4,0.0267,0.8,0.0516
two_stage,42,secxthr,0.01,5,,1000,20,980,0,0.02,1.0,0.0392
two_stage,42,secxthr,0.02,1,,200,7,193,13,0.035,0.35,0.0636
two_stage,42,secxthr,0.02,2,,400,12,388,8,0.03,0.6,0.0571
two_stage,42,secxthr,0.02,3,,600,16,584,4,0.0267,0.8,0.0516
two_stage,42,secxthr,0.02,5,,1000,20,980,0,0.02,1.0,0.0392
two_stage,42,secxthr,0.03,1,,200,7,193,13,0.035,0.35,0.0636
two_stage,42,secxthr,0.03,2,,400,12,388,8,0.03,0.6,0.0571
two_stage,42,secxthr,0.03,3,,595,16,579,4,0.0269,0.8,0.052
two_stage,42,secxthr,0.03,5,,950,20,930,0,0.0211,1.0,0.0412
two_stage,42,secxthr,0.04,1,,155,6,149,14,0.0387,0.3,0.0686
two_stage,42,secxthr,0.04,2,,247,10,237,10,0.0405,0.5,0.0749
two_stage,42,secxthr,0.04,3,,298,11,287,9,0.0369,0.55,0.0692
two_stage,42,secxthr,0.04,5,,335,13,322,7,0.0388,0.65,0.0732
two_stage,42,secxthr,0.05,1,,38,5,33,15,0.1316,0.25,0.1724
two_stage,42,secxthr,0.05,2,,43,5,38,15,0.1163,0.25,0.1587
two_stage,42,secxthr,0.05,3,,43,5,38,15,0.1163,0.25,0.1587
two_stage,42,secxthr,0.05,5,,43,5,38,15,0.1163,0.25,0.1587
two_stage,42,secxthr,0.06,1,,5,0,5,20,0.0,0.0,0.0
two_stage,42,secxthr,0.06,2,,5,0,5,20,0.0,0.0,0.0
two_stage,42,secxthr,0.06,3,,5,0,5,20,0.0,0.0,0.0
two_stage,42,secxthr,0.06,5,,5,0,5,20,0.0,0.0,0.0
logit_only,42,secxthr,0.01,,,10816,20,10796,0,0.0018,1.0,0.0037
logit_only,42,secxthr,0.02,,,4354,20,4334,0,0.0046,1.0,0.0091
logit_only,42,secxthr,0.03,,,1378,20,1358,0,0.0145,1.0,0.0286
logit_only,42,secxthr,0.04,,,337,13,324,7,0.0386,0.65,0.0728
logit_only,42,secxthr,0.05,,,43,5,38,15,0.1163,0.25,0.1587
logit_only,42,secxthr,0.06,,,5,0,5,20,0.0,0.0,0.0
topk_only,42,secxthr,,1,,200,7,193,13,0.035,0.35,0.0636
topk_only,42,secxthr,,2,,400,12,388,8,0.03,0.6,0.0571
topk_only,42,secxthr,,3,,600,16,584,4,0.0267,0.8,0.0516
topk_only,42,secxthr,,5,,1000,20,980,0,0.02,1.0,0.0392
cosine,42,secxthr,,,0.1,8871,20,8851,0,0.0023,1.0,0.0045
cosine,42,secxthr,,,0.15,4994,20,4974,0,0.004,1.0,0.008
cosine,42,secxthr,,,0.2,2508,20,2488,0,0.008,1.0,0.0158
cosine,42,secxthr,,,0.25,1194,20,1174,0,0.0168,1.0,0.0329
cosine,42,secxthr,,,0.3,501,16,485,4,0.0319,0.8,0.0614
cosine,42,secxthr,,,0.35,172,8,164,12,0.0465,0.4,0.0833
random,42,secxthr,,,,223,0.1115,222.8885,19.8885,0.0005,0.0056,0.0009
two_stage,42,decxthr,0.01,1,,300,8,292,7,0.0267,0.5333,0.0508
two_stage,42,decxthr,0.01,2,,600,11,589,4,0.0183,0.7333,0.0358
two_stage,42,decxthr,0.01,3,,900,12,888,3,0.0133,0.8,0.0262
two_stage,42,decxthr,0.01,5,,1500,14,1486,1,0.0093,0.9333,0.0185
two_stage,42,decxthr,0.02,1,,300,8,292,7,0.0267,0.5333,0.0508
two_stage,42,decxthr,0.02,2,,600,11,589,4,0.0183,0.7333,0.0358
two_stage,42,decxthr,0.02,3,,900,12,888,3,0.0133,0.8,0.0262
two_stage,42,decxthr,0.02,5,,1500,14,1486,1,0.0093,0.9333,0.0185
two_stage,42,decxthr,0.03,1,,300,8,292,7,0.0267,0.5333,0.0508
two_stage,42,decxthr,0.03,2,,597,11,586,4,0.0184,0.7333,0.0359
two_stage,42,decxthr,0.03,3,,889,12,877,3,0.0135,0.8,0.0265
two_stage,42,decxthr,0.03,5,,1420,14,1406,1,0.0099,0.9333,0.0195
two_stage,42,decxthr,0.04,1,,245,8,237,7,0.0327,0.5333,0.0615
two_stage,42,decxthr,0.04,2,,401,11,390,4,0.0274,0.7333,0.0529
two_stage,42,decxthr,0.04,3,,490,12,478,3,0.0245,0.8,0.0475
two_stage,42,decxthr,0.04,5,,555,13,542,2,0.0234,0.8667,0.0456
two_stage,42,decxthr,0.05,1,,58,2,56,13,0.0345,0.1333,0.0548
two_stage,42,decxthr,0.05,2,,69,2,67,13,0.029,0.1333,0.0476
two_stage,42,decxthr,0.05,3,,71,2,69,13,0.0282,0.1333,0.0465
two_stage,42,decxthr,0.05,5,,71,2,69,13,0.0282,0.1333,0.0465
two_stage,42,decxthr,0.06,1,,2,1,1,14,0.5,0.0667,0.1176
two_stage,42,decxthr,0.06,2,,2,1,1,14,0.5,0.0667,0.1176
two_stage,42,decxthr,0.06,3,,2,1,1,14,0.5,0.0667,0.1176
two_stage,42,decxthr,0.06,5,,2,1,1,14,0.5,0.0667,0.1176
logit_only,42,decxthr,0.01,,,16291,15,16276,0,0.0009,1.0,0.0018
logit_only,42,decxthr,0.02,,,6528,15,6513,0,0.0023,1.0,0.0046
logit_only,42,decxthr,0.03,,,2140,15,2125,0,0.007,1.0,0.0139
logit_only,42,decxthr,0.04,,,564,13,551,2,0.023,0.8667,0.0449
logit_only,42,decxthr,0.05,,,71,2,69,13,0.0282,0.1333,0.0465
logit_only,42,decxthr,0.06,,,2,1,1,14,0.5,0.0667,0.1176
topk_only,42,decxthr,,1,,300,8,292,7,0.0267,0.5333,0.0508
topk_only,42,decxthr,,2,,600,11,589,4,0.0183,0.7333,0.0358
topk_only,42,decxthr,,3,,900,12,888,3,0.0133,0.8,0.0262
topk_only,42,decxthr,,5,,1500,14,1486,1,0.0093,0.9333,0.0185
cosine,42,decxthr,,,0.1,13401,15,13386,0,0.0011,1.0,0.0022
cosine,42,decxthr,,,0.15,7445,15,7430,0,0.002,1.0,0.004
cosine,42,decxthr,,,0.2,3761,15,3746,0,0.004,1.0,0.0079
cosine,42,decxthr,,,0.25,1856,15,1841,0,0.0081,1.0,0.016
cosine,42,decxthr,,,0.3,837,13,824,2,0.0155,0.8667,0.0305
cosine,42,decxthr,,,0.35,293,7,286,8,0.0239,0.4667,0.0455
random,42,decxthr,,,,350,0.0875,349.9125,14.9125,0.0003,0.0058,0.0005
two_stage,42,secxdec,0.01,1,,200,5,195,10,0.025,0.3333,0.0465
two_stage,42,secxdec,0.01,2,,400,8,392,7,0.02,0.5333,0.0386
two_stage,42,secxdec,0.01,3,,600,10,590,5,0.0167,0.6667,0.0325
two_stage,42,secxdec,0.01,5,,1000,11,989,4,0.011,0.7333,0.0217
two_stage,42,secxdec,0.02,1,,200,5,195,10,0.025,0.3333,0.0465
two_stage,42,secxdec,0.02,2,,400,8,392,7,0.02,0.5333,0.0386
two_stage,42,secxdec,0.02,3,,600,10,590,5,0.0167,0.6667,0.0325
two_stage,42,secxdec,0.02,5,,1000,11,989,4,0.011,0.7333,0.0217
two_stage,42,secxdec,0.03,1,,200,5,195,10,0.025,0.3333,0.0465
two_stage,42,secxdec,0.03,2,,400,8,392,7,0.02,0.5333,0.0386
two_stage,42,secxdec,0.03,3,,600,10,590,5,0.0167,0.6667,0.0325
two_stage,42,secxdec,0.03,5,,994,11,983,4,0.0111,0.7333,0.0218
two_stage,42,secxdec,0.04,1,,173,5,168,10,0.0289,0.3333,0.0532
two_stage,42,secxdec,0.04,2,,292,8,284,7,0.0274,0.5333,0.0521
two_stage,42,secxdec,0.04,3,,357,9,348,6,0.0252,0.6,0.0484
two_stage,42,secxdec,0.04,5,,400,10,390,5,0.025,0.6667,0.0482
two_stage,42,secxdec,0.05,1,,48,2,46,13,0.0417,0.1333,0.0635
two_stage,42,secxdec,0.05,2,,56,3,53,12,0.0536,0.2,0.0845
two_stage,42,secxdec,0.05,3,,56,3,53,12,0.0536,0.2,0.0845
two_stage,42,secxdec,0.05,5,,56,3,53,12,0.0536,0.2,0.0845
