seed,n_domains,n_pairs,total_discoveries,mean_f1,mean_precision,mean_recall
42,2,1,600,0.0165,0.0083,1.0
42,3,3,1800,0.0143,0.0072,0.8667
42,4,6,3600,0.0138,0.0069,0.8333
42,5,10,6000,0.0142,0.0072,0.86
42,6,15,9000,0.0139,0.007,0.84
42,7,21,12600,0.0131,0.0066,0.7905
42,8,28,16800,0.0139,0.007,0.8429
42,9,36,21600,0.0128,0.0064,0.7722
42,10,45,27000,0.0129,0.0065,0.7822
42,12,66,39600,0.0131,0.0066,0.7939
42,15,105,63000,0.0128,0.0064,0.7733
123,2,1,600,0.0132,0.0067,0.8
123,3,3,1800,0.0132,0.0067,0.8
123,4,6,3600,0.0138,0.0069,0.8333
123,5,10,6000,0.0126,0.0063,0.76
123,6,15,9000,0.0117,0.0059,0.7067
123,7,21,12600,0.0131,0.0066,0.7905
123,8,28,16800,0.0129,0.0065,0.7786
123,9,36,21600,0.0122,0.0062,0.7389
123,10,45,27000,0.0134,0.0068,0.8133
123,12,66,39600,0.0124,0.0063,0.7515
123,15,105,63000,0.0128,0.0064,0.7733
456,2,1,600,0.0165,0.0083,1.0
456,3,3,1800,0.0165,0.0083,1.0
456,4,6,3600,0.0132,0.0067,0.8
456,5,10,6000,0.0129,0.0065,0.78
456,6,15,9000,0.0145,0.0073,0.88
456,7,21,12600,0.0137,0.0069,0.8286
456,8,28,16800,0.014,0.0071,0.85
456,9,36,21600,0.0123,0.0062,0.7444
456,10,45,27000,0.0131,0.0066,0.7911
456,12,66,39600,0.0131,0.0066,0.7909
456,15,105,63000,0.0128,0.0065,0.7752
789,2,1,600,0.0132,0.0067,0.8
789,3,3,1800,0.0154,0.0078,0.9333
789,4,6,3600,0.0116,0.0058,0.7
789,5,10,6000,0.0109,0.0055,0.66
789,6,15,9000,0.0117,0.0059,0.7067
789,7,21,12600,0.012,0.006,0.7238
789,8,28,16800,0.0132,0.0067,0.8
789,9,36,21600,0.0129,0.0065,0.7778
789,10,45,27000,0.0123,0.0062,0.7422
789,12,66,39600,0.0127,0.0064,0.7667
789,15,105,63000,0.0125,0.0063,0.7562
1024,2,1,600,0.0099,0.005,0.6
1024,3,3,1800,0.0132,0.0067,0.8
1024,4,6,3600,0.0121,0.0061,0.7333
1024,5,10,6000,0.0122,0.0062,0.74
1024,6,15,9000,0.013,0.0066,0.7867
1024,7,21,12600,0.0134,0.0067,0.8095
1024,8,28,16800,0.013,0.0065,0.7857
1024,9,36,21600,0.0133,0.0067,0.8056
1024,10,45,27000,0.0132,0.0067,0.8
1024,12,66,39600,0.0123,0.0062,0.7455
1024,15,105,63000,0.0128,0.0065,0.7771
2048,2,1,600,0.0132,0.0067,0.8
2048,3,3,1800,0.0143,0.0072,0.8667
2048,4,6,3600,0.0132,0.0067,0.8
2048,5,10,6000,0.0122,0.0062,0.74
2048,6,15,9000,0.013,0.0066,0.7867
2048,7,21,12600,0.014,0.0071,0.8476
2048,8,28,16800,0.0126,0.0064,0.7643
2048,9,36,21600,0.014,0.0071,0.85
2048,10,45,27000,0.0131,0.0066,0.7911
2048,12,66,39600,0.0133,0.0067,0.803
2048,15,105,63000,0.013,0.0066,0.7867
3072,2,1,600,0.0132,0.0067,0.8
3072,3,3,1800,0.0143,0.0072,0.8667
3072,4,6,3600,0.0121,0.0061,0.7333
3072,5,10,6000,0.0132,0.0067,0.8
3072,6,15,9000,0.0132,0.0067,0.8
3072,7,21,12600,0.0132,0.0067,0.8
3072,8,28,16800,0.0138,0.007,0.8357
3072,9,36,21600,0.013,0.0066,0.7889
3072,10,45,27000,0.0134,0.0067,0.8089
3072,12,66,39600,0.0131,0.0066,0.7909
3072,15,105,63000,0.0128,0.0064,0.7714
4096,2,1,600,0.0132,0.0067,0.8
4096,3,3,1800,0.0143,0.0072,0.8667
4096,4,6,3600,0.0132,0.0067,0.8
4096,5,10,6000,0.0145,0.0073,0.88
4096,6,15,9000,0.0143,0.0072,0.8667
4096,7,21,12600,0.0132,0.0067,0.8
4096,8,28,16800,0.012,0.0061,0.7286
4096,9,36,21600,0.0123,0.0062,0.7444
4096,10,45,27000,0.0134,0.0067,0.8089
4096,12,66,39600,0.0129,0.0065,0.7788
4096,15,105,63000,0.0129,0.0065,0.781
5120,2,1,600,0.0132,0.0067,0.8
5120,3,3,1800,0.0143,0.0072,0.8667
5120,4,6,3600,0.0132,0.0067,0.8
5120,5,10,6000,0.0132,0.0067,0.8
5120,6,15,9000,0.0123,0.0062,0.7467
5120,7,21,12600,0.0135,0.0068,0.819
5120,8,28,16800,0.0123,0.0062,0.7429
5120,9,36,21600,0.0141,0.0071,0.8556
5120,10,45,27000,0.0124,0.0063,0.7511
5120,12,66,39600,0.0125,0.0063,0.7576
5120,15,105,63000,0.0123,0.0062,0.7448
6144,2,1,600,0.0165,0.0083,1.0
6144,3,3,1800,0.0143,0.0072,0.8667
6144,4,6,3600,0.0138,0.0069,0.8333
6144,5,10,6000,0.0145,0.0073,0.88
6144,6,15,9000,0.0126,0.0063,0.76
6144,7,21,12600,0.0131,0.0066,0.7905
6144,8,28,16800,0.0128,0.0064,0.7714
6144,9,36,21600,0.0131,0.0066,0.7944
6144,10,45,27000,0.0129,0.0065,0.7822
6144,12,66,39600,0.013,0.0066,0.7879
6144,15,105,63000,0.0127,0.0064,0.7657
