seed,oracle_type,noise_rate,final_gt_accuracy,converged,w_final_frobenius
42,bernoulli,-1.0,0.044,0,5.863191
123,bernoulli,-1.0,0.365,0,6.099872
456,bernoulli,-1.0,0.372,0,6.566648
789,bernoulli,-1.0,0.079,0,6.295457
1024,bernoulli,-1.0,0.209,0,6.168205
2048,bernoulli,-1.0,0.202,0,7.026984
3072,bernoulli,-1.0,0.016,0,6.35826
4096,bernoulli,-1.0,0.195,0,6.275806
5120,bernoulli,-1.0,0.39,0,6.342022
6144,bernoulli,-1.0,0.025,0,6.06151
42,gt_aligned,0.0,0.931,1,8.836239
123,gt_aligned,0.0,0.925,1,8.639961
456,gt_aligned,0.0,0.936,1,8.871003
789,gt_aligned,0.0,0.928,1,8.697898
1024,gt_aligned,0.0,0.918,1,8.557868
2048,gt_aligned,0.0,0.858,1,8.104089
3072,gt_aligned,0.0,0.86,1,7.944302
4096,gt_aligned,0.0,0.892,1,8.366709
5120,gt_aligned,0.0,0.852,1,7.940845
6144,gt_aligned,0.0,0.908,1,8.536925
42,gt_aligned,0.05,0.923,1,8.251416
123,gt_aligned,0.05,0.922,1,7.983196
456,gt_aligned,0.05,0.933,1,8.128579
789,gt_aligned,0.05,0.913,1,8.118218
1024,gt_aligned,0.05,0.908,1,7.898117
2048,gt_aligned,0.05,0.717,1,6.614872
3072,gt_aligned,0.05,0.844,1,7.431299
4096,gt_aligned,0.05,0.747,1,6.62596
5120,gt_aligned,0.05,0.845,1,7.394109
6144,gt_aligned,0.05,0.9,1,7.778659
42,gt_aligned,0.15,0.903,1,7.055663
123,gt_aligned,0.15,0.887,1,6.39115
456,gt_aligned,0.15,0.921,1,6.969436
789,gt_aligned,0.15,0.914,1,6.866573
1024,gt_aligned,0.15,0.755,1,6.157102
2048,gt_aligned,0.15,0.586,1,5.132336
3072,gt_aligned,0.15,0.875,1,6.618339
4096,gt_aligned,0.15,0.684,1,5.563334
5120,gt_aligned,0.15,0.654,1,5.639762
6144,gt_aligned,0.15,0.808,1,6.131193
42,gt_aligned,0.3,0.703,1,4.7905
123,gt_aligned,0.3,0.818,1,4.701314
456,gt_aligned,0.3,0.887,1,5.181509
789,gt_aligned,0.3,0.417,1,3.682107
1024,gt_aligned,0.3,0.537,1,3.496943
2048,gt_aligned,0.3,0.416,1,3.452094
3072,gt_aligned,0.3,0.833,1,5.125789
4096,gt_aligned,0.3,0.349,0,3.590632
5120,gt_aligned,0.3,0.661,1,4.182166
6144,gt_aligned,0.3,0.453,1,3.637112
