seed,oracle_type,noise_rate,checkpoint,cumulative_gt_acc,recent_20_gt_acc,w_frobenius,w_max,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
42,bernoulli,-1.0,50,0.3,0.4,0.589702,0.166947,0.4,0.307692,0.142857,0.4,0.2
42,bernoulli,-1.0,100,0.27,0.2,0.828589,0.269841,0.111111,0.444444,0.117647,0.333333,0.235294
42,bernoulli,-1.0,200,0.195,0.1,1.218986,0.50935,0.057143,0.418605,0.069767,0.227273,0.171429
42,bernoulli,-1.0,400,0.11,0.0,2.377829,1.055044,0.02439,0.261905,0.04,0.134146,0.077922
42,bernoulli,-1.0,700,0.062857,0.0,4.297511,2.068288,0.014184,0.160584,0.021739,0.075342,0.043478
42,bernoulli,-1.0,1000,0.044,0.0,5.863191,2.815034,0.01,0.11,0.015,0.055,0.03
123,bernoulli,-1.0,50,0.24,0.15,0.633216,0.191097,0.125,0.222222,0.214286,0.272727,0.375
123,bernoulli,-1.0,100,0.26,0.3,0.894685,0.301707,0.166667,0.176471,0.269231,0.3,0.368421
123,bernoulli,-1.0,200,0.275,0.3,1.417125,0.471674,0.09375,0.325581,0.309524,0.386364,0.205128
123,bernoulli,-1.0,400,0.3025,0.4,2.497777,1.125874,0.041096,0.202381,0.547945,0.626506,0.103448
123,bernoulli,-1.0,700,0.342857,0.4,4.48245,2.098229,0.022388,0.114094,0.753731,0.780142,0.06338
123,bernoulli,-1.0,1000,0.365,0.45,6.099872,2.93465,0.015,0.085,0.835,0.845,0.045
456,bernoulli,-1.0,50,0.22,0.3,0.642195,0.188684,0.0,0.222222,0.153846,0.166667,0.625
456,bernoulli,-1.0,100,0.18,0.1,0.877189,0.280984,0.0,0.2,0.210526,0.086957,0.363636
456,bernoulli,-1.0,200,0.26,0.4,1.548994,0.627568,0.0,0.5,0.116279,0.043478,0.658537
456,bernoulli,-1.0,400,0.345,0.45,3.083728,1.410141,0.0,0.727273,0.0625,0.025316,0.842697
456,bernoulli,-1.0,700,0.367143,0.65,4.98008,2.376446,0.0,0.846715,0.034965,0.014493,0.905405
456,bernoulli,-1.0,1000,0.372,0.2,6.566648,3.12841,0.0,0.895,0.025,0.01,0.93
789,bernoulli,-1.0,50,0.22,0.2,0.655198,0.204822,0.181818,0.111111,0.2,0.333333,0.142857
789,bernoulli,-1.0,100,0.27,0.35,0.992048,0.376779,0.1875,0.25,0.5,0.344828,0.142857
789,bernoulli,-1.0,200,0.265,0.2,1.547859,0.791313,0.083333,0.238095,0.5,0.490196,0.06383
789,bernoulli,-1.0,400,0.1975,0.05,2.922068,1.455958,0.04,0.135802,0.289855,0.488372,0.033708
789,bernoulli,-1.0,700,0.112857,0.0,4.647609,2.21281,0.022059,0.076923,0.143885,0.287671,0.022059
789,bernoulli,-1.0,1000,0.079,0.0,6.295457,2.998102,0.015,0.055,0.1,0.21,0.015
1024,bernoulli,-1.0,50,0.26,0.45,0.723279,0.30141,0.357143,0.076923,0.285714,0.0,0.555556
1024,bernoulli,-1.0,100,0.28,0.3,1.187563,0.548245,0.615385,0.047619,0.285714,0.0,0.333333
