seed,oracle_type,noise_rate,ratio,checkpoint,cumulative_gt_acc,recent_50_gt_acc,w_frobenius,w_max,w_entropy,grad_mag_f0,grad_mag_f1,grad_mag_f2,grad_mag_f3,grad_mag_f4,grad_mag_f5,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
42,bernoulli,-1.0,1.0,50,0.62,0.62,2.482223,1.001236,1.386043,0.007078,0.009692,0.009382,0.012495,0.005506,0.004458,0.4,0.692308,0.571429,0.6,0.7
42,bernoulli,-1.0,1.0,100,0.66,0.7,2.650438,0.986385,1.385796,0.008204,0.009002,0.009185,0.011304,0.006185,0.005924,0.722222,0.703704,0.529412,0.571429,0.764706
42,bernoulli,-1.0,1.0,200,0.695,0.76,2.795987,1.036876,1.384682,0.005002,0.010871,0.010032,0.011634,0.005117,0.004306,0.8,0.767442,0.604651,0.613636,0.714286
42,bernoulli,-1.0,1.0,400,0.71,0.68,3.310009,1.289976,1.382561,0.007278,0.009286,0.009693,0.010935,0.006323,0.005451,0.841463,0.714286,0.653333,0.658537,0.675325
42,bernoulli,-1.0,1.0,700,0.687143,0.64,4.197446,1.600273,1.374023,0.007519,0.009087,0.009029,0.010143,0.006993,0.006551,0.801418,0.649635,0.630435,0.664384,0.688406
42,bernoulli,-1.0,1.0,1000,0.697,0.6,4.890417,1.929626,1.363687,0.007307,0.008844,0.010066,0.011425,0.006379,0.006439,0.79,0.63,0.635,0.71,0.72
123,bernoulli,-1.0,1.0,50,0.66,0.66,2.54448,0.989354,1.385936,0.005118,0.011232,0.00901,0.011442,0.00614,0.006115,0.75,0.777778,0.571429,0.636364,0.625
123,bernoulli,-1.0,1.0,100,0.59,0.52,2.678343,0.999771,1.38567,0.006924,0.009625,0.009972,0.010827,0.006387,0.004851,0.722222,0.529412,0.5,0.65,0.578947
123,bernoulli,-1.0,1.0,200,0.6,0.58,3.139812,1.352174,1.382054,0.007208,0.010543,0.00968,0.012145,0.004298,0.004528,0.65625,0.581395,0.5,0.704545,0.564103
123,bernoulli,-1.0,1.0,400,0.525,0.48,3.58518,1.621667,1.369916,0.007612,0.009204,0.009596,0.011598,0.005631,0.005102,0.616438,0.440476,0.493151,0.650602,0.436782
123,bernoulli,-1.0,1.0,700,0.488571,0.42,4.687726,2.317952,1.307639,0.007857,0.009312,0.010416,0.010272,0.006261,0.005964,0.574627,0.348993,0.507463,0.631206,0.394366
123,bernoulli,-1.0,1.0,1000,0.457,0.4,5.582899,2.913112,1.213027,0.007864,0.009422,0.007711,0.011711,0.006013,0.006827,0.495,0.305,0.505,0.625,0.355
456,bernoulli,-1.0,1.0,50,0.58,0.58,2.48568,0.994537,1.385994,0.006692,0.009326,0.009149,0.010037,0.006742,0.006226,0.75,0.555556,0.230769,0.75,0.75
456,bernoulli,-1.0,1.0,100,0.58,0.58,2.653508,1.151169,1.385542,0.007271,0.008521,0.009924,0.010941,0.006616,0.006163,0.75,0.55,0.315789,0.73913,0.545455
456,bernoulli,-1.0,1.0,200,0.665,0.7,3.03346,1.300384,1.383942,0.006401,0.01077,0.008728,0.011481,0.005334,0.004763,0.823529,0.555556,0.534884,0.73913,0.682927
456,bernoulli,-1.0,1.0,400,0.695,0.78,3.713413,1.567156,1.376984,0.007211,0.009416,0.010445,0.01171,0.006657,0.006492,0.733333,0.597403,0.6,0.78481,0.752809
456,bernoulli,-1.0,1.0,700,0.688571,0.68,4.41572,1.958285,1.368295,0.006779,0.009478,0.009714,0.01074,0.006443,0.006926,0.753731,0.554745,0.643357,0.76087,0.72973
456,bernoulli,-1.0,1.0,1000,0.654,0.4,5.130176,2.385282,1.346228,0.006385,0.011905,0.008955,0.011223,0.005706,0.005399,0.74,0.58,0.595,0.69,0.665
789,bernoulli,-1.0,1.0,50,0.68,0.68,2.496125,0.964262,1.384465,0.00776,0.011691,0.009042,0.012407,0.004071,0.003453,0.454545,1.0,0.8,0.777778,0.285714
789,bernoulli,-1.0,1.0,100,0.67,0.66,2.819687,1.058446,1.382803,0.006533,0.010032,0.009929,0.011473,0.006392,0.006124,0.5625,0.708333,0.6,0.758621,0.619048
789,bernoulli,-1.0,1.0,200,0.65,0.64,3.095897,1.226301,1.378082,0.006807,0.009105,0.009481,0.010126,0.006154,0.005456,0.666667,0.690476,0.541667,0.745098,0.553191
789,bernoulli,-1.0,1.0,400,0.6375,0.56,3.8743,1.636562,1.358458,0.007576,0.009865,0.008708,0.010773,0.006052,0.006275,0.76,0.62963,0.550725,0.732558,0.516854
789,bernoulli,-1.0,1.0,700,0.597143,0.46,4.724246,2.048755,1.317385,0.006122,0.009357,0.011176,0.009972,0.006048,0.005352,0.75,0.538462,0.539568,0.684932,0.470588
789,bernoulli,-1.0,1.0,1000,0.555,0.44,5.57603,2.391087,1.263714,0.008532,0.007907,0.008574,0.009626,0.007467,0.007387,0.695,0.5,0.525,0.65,0.405
1024,bernoulli,-1.0,1.0,50,0.64,0.64,2.639609,0.971379,1.383911,0.007945,0.009318,0.008676,0.009701,0.007991,0.007371,0.857143,0.615385,0.857143,0.571429,0.222222
1024,bernoulli,-1.0,1.0,100,0.61,0.58,2.988785,1.125896,1.38054,0.006906,0.01026,0.008064,0.010992,0.006644,0.0062,0.769231,0.619048,0.642857,0.555556,0.428571
1024,bernoulli,-1.0,1.0,200,0.59,0.6,3.33176,1.356964,1.374871,0.00857,0.008678,0.007642,0.010884,0.007757,0.00699,0.795455,0.547619,0.583333,0.540541,0.463415
1024,bernoulli,-1.0,1.0,400,0.53,0.38,3.961378,1.735398,1.357315,0.007717,0.009557,0.010505,0.011226,0.004965,0.004416,0.696203,0.375,0.470588,0.605263,0.5125
1024,bernoulli,-1.0,1.0,700,0.535714,0.48,4.369773,2.004447,1.341404,0.005858,0.010636,0.009854,0.012136,0.004808,0.003403,0.691729,0.416667,0.489796,0.644928,0.449275
1024,bernoulli,-1.0,1.0,1000,0.545,0.54,5.12673,2.484108,1.301531,0.006775,0.009279,0.009245,0.009953,0.00678,0.006401,0.72,0.385,0.53,0.65,0.44
2048,bernoulli,-1.0,1.0,50,0.64,0.64,2.542851,0.928951,1.384087,0.009272,0.008279,0.008926,0.010805,0.007038,0.006734,0.909091,0.75,0.444444,0.555556,0.444444
2048,bernoulli,-1.0,1.0,100,0.63,0.62,2.777831,1.038319,1.382339,0.006752,0.009472,0.010526,0.011,0.005874,0.00528,0.833333,0.75,0.608696,0.4375,0.473684
2048,bernoulli,-1.0,1.0,200,0.63,0.7,3.030183,1.223085,1.377883,0.006985,0.010106,0.00881,0.010791,0.006915,0.006021,0.763158,0.690476,0.604651,0.542857,0.547619
2048,bernoulli,-1.0,1.0,400,0.6175,0.64,3.618559,1.497063,1.367097,0.006054,0.011257,0.009115,0.011165,0.005942,0.005737,0.74359,0.634146,0.566265,0.589041,0.559524
2048,bernoulli,-1.0,1.0,700,0.534286,0.32,4.54736,1.947345,1.313693,0.006965,0.010822,0.008321,0.011439,0.00582,0.006222,0.729927,0.549669,0.477941,0.466165,0.447552
2048,bernoulli,-1.0,1.0,1000,0.449,0.22,5.394429,2.376834,1.207314,0.00697,0.0103,0.009073,0.010994,0.006334,0.00611,0.715,0.465,0.36,0.355,0.35
3072,bernoulli,-1.0,1.0,50,0.66,0.66,2.623137,1.0788,1.386145,0.006811,0.009452,0.010772,0.011199,0.005669,0.005891,0.714286,0.545455,1.0,0.454545,0.714286
3072,bernoulli,-1.0,1.0,100,0.66,0.66,2.789445,1.18328,1.385875,0.00663,0.010607,0.009522,0.010996,0.006004,0.006149,0.705882,0.5,0.928571,0.545455,0.73913
3072,bernoulli,-1.0,1.0,200,0.645,0.66,2.9226,1.319334,1.384716,0.007475,0.010572,0.008639,0.011749,0.006894,0.006335,0.71875,0.456522,0.769231,0.581395,0.75
3072,bernoulli,-1.0,1.0,400,0.6225,0.66,3.745614,1.821078,1.368685,0.008483,0.00769,0.008243,0.008629,0.00872,0.008154,0.792208,0.493976,0.684932,0.565789,0.593407
3072,bernoulli,-1.0,1.0,700,0.551429,0.56,4.478331,2.215955,1.334977,0.006757,0.010151,0.010477,0.010002,0.005741,0.004845,0.73913,0.450704,0.537931,0.511628,0.520548
3072,bernoulli,-1.0,1.0,1000,0.515,0.48,5.248994,2.674748,1.271466,0.007522,0.009492,0.009607,0.010836,0.006271,0.006517,0.705,0.435,0.5,0.455,0.48
4096,bernoulli,-1.0,1.0,50,0.6,0.6,2.535736,0.973707,1.384151,0.006689,0.010674,0.008929,0.011623,0.005718,0.005678,0.7,0.0,0.461538,0.818182,0.8
4096,bernoulli,-1.0,1.0,100,0.64,0.68,2.681184,1.062832,1.382747,0.007712,0.008033,0.008983,0.009835,0.007457,0.007118,0.772727,0.4,0.590909,0.764706,0.625
4096,bernoulli,-1.0,1.0,200,0.595,0.52,2.924346,1.232129,1.379113,0.007157,0.010537,0.008773,0.011508,0.006088,0.005889,0.704545,0.533333,0.571429,0.564103,0.577778
4096,bernoulli,-1.0,1.0,400,0.5225,0.54,3.569152,1.480374,1.362223,0.00756,0.009251,0.00953,0.010966,0.006578,0.006113,0.686747,0.474359,0.480519,0.521127,0.450549
4096,bernoulli,-1.0,1.0,700,0.475714,0.22,4.200428,1.717188,1.333132,0.006554,0.011639,0.008541,0.012722,0.005378,0.00446,0.633803,0.401408,0.453901,0.481481,0.407143
4096,bernoulli,-1.0,1.0,1000,0.405,0.16,4.911038,2.018278,1.25001,0.007426,0.009051,0.009026,0.011556,0.00589,0.005545,0.625,0.335,0.355,0.38,0.33
5120,bernoulli,-1.0,1.0,50,0.62,0.62,2.578142,0.936752,1.385381,0.007512,0.009949,0.008559,0.011609,0.006251,0.005799,0.75,0.454545,0.615385,0.666667,0.666667
5120,bernoulli,-1.0,1.0,100,0.61,0.6,2.812326,1.146285,1.384029,0.006199,0.009574,0.009748,0.011386,0.006097,0.005553,0.666667,0.615385,0.73913,0.545455,0.5
5120,bernoulli,-1.0,1.0,200,0.58,0.66,3.104728,1.231715,1.379734,0.006921,0.010421,0.008252,0.010465,0.00705,0.00628,0.634146,0.525,0.764706,0.611111,0.428571
5120,bernoulli,-1.0,1.0,400,0.57,0.4,3.667763,1.560455,1.365587,0.007133,0.01001,0.009205,0.011468,0.005478,0.004988,0.644737,0.505618,0.676471,0.604938,0.453488
5120,bernoulli,-1.0,1.0,700,0.555714,0.66,4.431352,2.025498,1.337414,0.007656,0.009238,0.008319,0.009708,0.007634,0.006614,0.664234,0.44898,0.578947,0.642336,0.458904
5120,bernoulli,-1.0,1.0,1000,0.546,0.6,5.12203,2.436377,1.304752,0.006971,0.008699,0.007582,0.010238,0.007743,0.007414,0.675,0.42,0.5,0.66,0.475
