profile_set,scoring_config,seed,checkpoint,cumulative_gt_acc,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider
simplified,w_only,42,50,0.32,0.1111111111111111,0.4444444444444444,0.375,0.38461538461538464,0.2727272727272727
simplified,w_only,42,100,0.51,0.45454545454545453,0.47058823529411764,0.6190476190476191,0.6538461538461539,0.21428571428571427
simplified,w_only,42,200,0.645,0.6744186046511628,0.5833333333333334,0.7954545454545454,0.6666666666666666,0.45714285714285713
simplified,w_only,42,400,0.7575,0.7954545454545454,0.6571428571428571,0.8604651162790697,0.8148148148148148,0.6266666666666667
simplified,w_only,42,700,0.8314285714285714,0.8533333333333334,0.7886178861788617,0.8943661971830986,0.8707482993197279,0.7391304347826086
simplified,w_only,42,1000,0.881,0.8990825688073395,0.8586956521739131,0.9203980099502488,0.905,0.817258883248731
simplified,w_only,123,50,0.5,0.8,0.2727272727272727,0.3333333333333333,0.7777777777777778,0.36363636363636365
simplified,w_only,123,100,0.54,0.7,0.4,0.4583333333333333,0.7647058823529411,0.42105263157894735
simplified,w_only,123,200,0.715,0.8292682926829268,0.6444444444444445,0.6341463414634146,0.8378378378378378,0.6388888888888888
simplified,w_only,123,400,0.81,0.8902439024390244,0.7586206896551724,0.7901234567901234,0.8378378378378378,0.7763157894736842
simplified,w_only,123,700,0.86,0.916030534351145,0.8299319727891157,0.8333333333333334,0.8918918918918919,0.8308823529411765
simplified,w_only,123,1000,0.896,0.9358288770053476,0.8656716417910447,0.8925233644859814,0.9223300970873787,0.8645833333333334
simplified,w_only,456,50,0.5,0.16666666666666666,0.35714285714285715,0.5454545454545454,0.6923076923076923,0.6666666666666666
simplified,w_only,456,100,0.51,0.4117647058823529,0.38461538461538464,0.5294117647058824,0.6956521739130435,0.5294117647058824
simplified,w_only,456,200,0.59,0.5833333333333334,0.4423076923076923,0.7,0.6829268292682927,0.5806451612903226
simplified,w_only,456,400,0.69,0.6493506493506493,0.5227272727272727,0.7922077922077922,0.7974683544303798,0.7088607594936709
simplified,w_only,456,700,0.7857142857142857,0.753731343283582,0.678082191780822,0.8609271523178808,0.8661417322834646,0.7746478873239436
simplified,w_only,456,1000,0.847,0.8181818181818182,0.7681159420289855,0.8985507246376812,0.9081081081081082,0.8457943925233645
simplified,w_only,789,50,0.52,0.3,0.7142857142857143,0.5384615384615384,0.6363636363636364,0.4444444444444444
simplified,w_only,789,100,0.59,0.42857142857142855,0.7058823529411765,0.6296296296296297,0.6875,0.5263157894736842
simplified,w_only,789,200,0.67,0.52,0.7,0.7619047619047619,0.7941176470588235,0.6176470588235294
simplified,w_only,789,400,0.805,0.7263157894736842,0.7976190476190477,0.8433734939759037,0.8709677419354839,0.8157894736842105
simplified,w_only,789,700,0.8871428571428571,0.8223684210526315,0.8930817610062893,0.9015151515151515,0.9333333333333333,0.8978102189781022
simplified,w_only,789,1000,0.919,0.8689320388349514,0.923728813559322,0.9285714285714286,0.9497206703910615,0.9289340101522843
simplified,w_only,1024,50,0.36,0.4,0.42857142857142855,0.2,0.4666666666666667,0.25
simplified,w_only,1024,100,0.49,0.4,0.5,0.5,0.5714285714285714,0.47058823529411764
simplified,w_only,1024,200,0.64,0.45,0.6578947368421053,0.6739130434782609,0.7555555555555555,0.6451612903225806
simplified,w_only,1024,400,0.7575,0.6222222222222222,0.810126582278481,0.8131868131868132,0.8333333333333334,0.7205882352941176
simplified,w_only,1024,700,0.8285714285714286,0.6766917293233082,0.8689655172413793,0.875,0.9044117647058824,0.7966101694915254
simplified,w_only,1024,1000,0.866,0.7527472527472527,0.8909952606635071,0.8979591836734694,0.9259259259259259,0.8439306358381503
simplified,w_only,2048,50,0.36,0.25,0.2,0.5555555555555556,0.2857142857142857,0.42857142857142855
simplified,w_only,2048,100,0.47,0.29411764705882354,0.4,0.6666666666666666,0.4444444444444444,0.5217391304347826
simplified,w_only,2048,200,0.585,0.35294117647058826,0.5135135135135135,0.717948717948718,0.6304347826086957,0.6590909090909091
simplified,w_only,2048,400,0.765,0.6470588235294118,0.7560975609756098,0.8536585365853658,0.7380952380952381,0.8095238095238095
simplified,w_only,2048,700,0.8614285714285714,0.816793893129771,0.8581560283687943,0.910958904109589,0.8503401360544217,0.8666666666666667
simplified,w_only,2048,1000,0.899,0.8697916666666666,0.8883248730964467,0.9346733668341709,0.8952380952380953,0.905940594059406
simplified,w_only,3072,50,0.42,0.5714285714285714,0.2,0.625,0.3333333333333333,0.3333333333333333
simplified,w_only,3072,100,0.56,0.5,0.45,0.6956521739130435,0.6153846153846154,0.5454545454545454
simplified,w_only,3072,200,0.655,0.5333333333333333,0.6363636363636364,0.725,0.7333333333333333,0.6829268292682927
simplified,w_only,3072,400,0.8,0.7228915662650602,0.7682926829268293,0.8421052631578947,0.8787878787878788,0.8064516129032258
simplified,w_only,3072,700,0.8771428571428571,0.8308823529411765,0.8367346938775511,0.9130434782608695,0.9291338582677166,0.881578947368421
simplified,w_only,3072,1000,0.911,0.875,0.8840579710144928,0.9390862944162437,0.9395604395604396,0.918918918918919
simplified,w_only,4096,50,0.5,0.6,0.1111111111111111,0.6666666666666666,0.5,0.6153846153846154
simplified,w_only,4096,100,0.68,0.75,0.5294117647058824,0.8333333333333334,0.65,0.64
