condition,eta,eta_neg,noise_rate,seed,checkpoint,cumulative_gt_acc,gt_acc_credential,gt_acc_threat,gt_acc_lateral,gt_acc_exfil,gt_acc_insider,mean_profile_drift,mean_profile_separation
centroid_only,0.0,0.0,0.0,42,50,0.98,1.0,1.0,1.0,0.8571428571428571,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,42,100,0.99,1.0,1.0,1.0,0.9411764705882353,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,42,200,0.995,1.0,1.0,1.0,0.967741935483871,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,42,400,0.98,0.9680851063829787,1.0,0.9436619718309859,0.9852941176470589,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,42,700,0.9857142857142858,0.9803921568627451,0.9928571428571429,0.9703703703703703,0.9924812030075187,0.9928057553956835,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,42,1000,0.984,0.981651376146789,0.9891304347826086,0.9601990049751243,0.995,0.9949238578680203,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,123,50,0.98,1.0,1.0,0.8888888888888888,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,123,100,0.98,1.0,1.0,0.8823529411764706,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,123,200,0.985,1.0,1.0,0.9523809523809523,1.0,0.9772727272727273,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,123,400,0.98,1.0,0.9876543209876543,0.9347826086956522,1.0,0.9887640449438202,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,123,700,0.9757142857142858,1.0,0.9928571428571429,0.9215686274509803,1.0,0.9701492537313433,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,123,1000,0.977,1.0,0.9850746268656716,0.9392523364485982,0.9951456310679612,0.96875,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,456,50,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,456,100,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,456,200,0.985,1.0,1.0,0.9523809523809523,1.0,0.9772727272727273,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,456,400,0.9775,1.0,0.9886363636363636,0.9090909090909091,1.0,0.9878048780487805,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,456,700,0.9814285714285714,0.9924242424242424,0.9872611464968153,0.9328358208955224,1.0,0.993006993006993,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,456,1000,0.977,0.9893048128342246,0.9855072463768116,0.9371980676328503,1.0,0.9766355140186916,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,789,50,0.98,1.0,1.0,1.0,1.0,0.9,0.0,0.9934291911923904
centroid_only,0.0,0.0,0.0,789,100,0.99,1.0,1.0,1.0,1.0,0.9411764705882353,0.0,0.9934291911923904
