target_category,condition,seed,decisions_to_80pct,decisions_to_90pct,decisions_to_95pct
credential_access,cold,42,25.0,100.0,
credential_access,cold,123,50.0,100.0,
credential_access,cold,456,25.0,100.0,
credential_access,cold,789,25.0,150.0,
credential_access,cold,1024,100.0,,
credential_access,cold,2048,100.0,150.0,
credential_access,cold,3072,100.0,150.0,
credential_access,cold,4096,50.0,100.0,
credential_access,cold,5120,25.0,100.0,
credential_access,cold,6144,25.0,150.0,
credential_access,config,42,25.0,25.0,25.0
credential_access,config,123,25.0,25.0,25.0
credential_access,config,456,25.0,25.0,25.0
credential_access,config,789,25.0,25.0,25.0
credential_access,config,1024,25.0,25.0,25.0
credential_access,config,2048,25.0,25.0,25.0
credential_access,config,3072,25.0,25.0,25.0
credential_access,config,4096,25.0,25.0,25.0
credential_access,config,5120,25.0,25.0,25.0
credential_access,config,6144,25.0,25.0,25.0
credential_access,transfer,42,25.0,25.0,25.0
credential_access,transfer,123,25.0,25.0,25.0
credential_access,transfer,456,25.0,25.0,25.0
credential_access,transfer,789,25.0,25.0,25.0
credential_access,transfer,1024,25.0,50.0,200.0
credential_access,transfer,2048,25.0,25.0,50.0
credential_access,transfer,3072,25.0,25.0,25.0
credential_access,transfer,4096,25.0,25.0,25.0
credential_access,transfer,5120,25.0,25.0,25.0
credential_access,transfer,6144,25.0,25.0,25.0
threat_intel_match,cold,42,150.0,,
threat_intel_match,cold,123,200.0,,
threat_intel_match,cold,456,150.0,,
threat_intel_match,cold,789,150.0,,
threat_intel_match,cold,1024,200.0,,
threat_intel_match,cold,2048,150.0,,
threat_intel_match,cold,3072,150.0,,
threat_intel_match,cold,4096,25.0,,
threat_intel_match,cold,5120,100.0,200.0,
threat_intel_match,cold,6144,150.0,,
threat_intel_match,config,42,25.0,25.0,25.0
threat_intel_match,config,123,25.0,25.0,25.0
threat_intel_match,config,456,25.0,25.0,25.0
threat_intel_match,config,789,25.0,25.0,25.0
threat_intel_match,config,1024,25.0,25.0,25.0
threat_intel_match,config,2048,25.0,25.0,25.0
threat_intel_match,config,3072,25.0,25.0,25.0
threat_intel_match,config,4096,25.0,25.0,25.0
threat_intel_match,config,5120,25.0,25.0,25.0
threat_intel_match,config,6144,25.0,25.0,25.0
threat_intel_match,transfer,42,25.0,50.0,150.0
threat_intel_match,transfer,123,50.0,150.0,
threat_intel_match,transfer,456,50.0,150.0,
threat_intel_match,transfer,789,25.0,150.0,
threat_intel_match,transfer,1024,25.0,100.0,
threat_intel_match,transfer,2048,25.0,50.0,200.0
threat_intel_match,transfer,3072,25.0,100.0,200.0
threat_intel_match,transfer,4096,50.0,100.0,
threat_intel_match,transfer,5120,25.0,25.0,100.0
threat_intel_match,transfer,6144,25.0,25.0,100.0
lateral_movement,cold,42,50.0,,
lateral_movement,cold,123,150.0,,
lateral_movement,cold,456,,,
lateral_movement,cold,789,,,
lateral_movement,cold,1024,200.0,,
lateral_movement,cold,2048,200.0,,
lateral_movement,cold,3072,,,
lateral_movement,cold,4096,200.0,,
lateral_movement,cold,5120,,,
lateral_movement,cold,6144,,,
lateral_movement,config,42,25.0,25.0,50.0
lateral_movement,config,123,25.0,25.0,25.0
lateral_movement,config,456,25.0,50.0,
lateral_movement,config,789,25.0,25.0,
lateral_movement,config,1024,25.0,25.0,25.0
lateral_movement,config,2048,25.0,25.0,25.0
lateral_movement,config,3072,25.0,25.0,25.0
lateral_movement,config,4096,25.0,25.0,25.0
lateral_movement,config,5120,25.0,25.0,25.0
lateral_movement,config,6144,25.0,25.0,25.0
lateral_movement,transfer,42,150.0,,
lateral_movement,transfer,123,200.0,,
lateral_movement,transfer,456,150.0,,
lateral_movement,transfer,789,200.0,,
lateral_movement,transfer,1024,150.0,,
lateral_movement,transfer,2048,150.0,,
lateral_movement,transfer,3072,100.0,,
lateral_movement,transfer,4096,100.0,200.0,
lateral_movement,transfer,5120,150.0,,
lateral_movement,transfer,6144,150.0,,
data_exfiltration,cold,42,25.0,100.0,
data_exfiltration,cold,123,100.0,200.0,
data_exfiltration,cold,456,100.0,150.0,
data_exfiltration,cold,789,100.0,150.0,
data_exfiltration,cold,1024,100.0,150.0,
data_exfiltration,cold,2048,50.0,150.0,
data_exfiltration,cold,3072,50.0,100.0,200.0
data_exfiltration,cold,4096,100.0,150.0,
data_exfiltration,cold,5120,100.0,150.0,
data_exfiltration,cold,6144,100.0,200.0,
data_exfiltration,config,42,25.0,25.0,25.0
data_exfiltration,config,123,25.0,25.0,25.0
data_exfiltration,config,456,25.0,25.0,25.0
data_exfiltration,config,789,25.0,25.0,25.0
data_exfiltration,config,1024,25.0,25.0,25.0
data_exfiltration,config,2048,25.0,25.0,25.0
data_exfiltration,config,3072,25.0,25.0,25.0
data_exfiltration,config,4096,25.0,25.0,25.0
data_exfiltration,config,5120,25.0,25.0,25.0
data_exfiltration,config,6144,25.0,25.0,25.0
data_exfiltration,transfer,42,25.0,50.0,150.0
data_exfiltration,transfer,123,25.0,50.0,100.0
data_exfiltration,transfer,456,25.0,100.0,150.0
data_exfiltration,transfer,789,25.0,50.0,100.0
data_exfiltration,transfer,1024,25.0,50.0,100.0
data_exfiltration,transfer,2048,25.0,50.0,150.0
data_exfiltration,transfer,3072,25.0,50.0,100.0
data_exfiltration,transfer,4096,25.0,25.0,25.0
data_exfiltration,transfer,5120,25.0,25.0,25.0
data_exfiltration,transfer,6144,50.0,100.0,200.0
insider_threat,cold,42,100.0,,
insider_threat,cold,123,100.0,150.0,
insider_threat,cold,456,100.0,,
insider_threat,cold,789,100.0,200.0,
insider_threat,cold,1024,100.0,150.0,
insider_threat,cold,2048,50.0,100.0,
insider_threat,cold,3072,50.0,150.0,
insider_threat,cold,4096,100.0,150.0,
insider_threat,cold,5120,50.0,100.0,200.0
insider_threat,cold,6144,100.0,200.0,
insider_threat,config,42,25.0,25.0,25.0
insider_threat,config,123,25.0,25.0,25.0
insider_threat,config,456,25.0,25.0,25.0
insider_threat,config,789,25.0,25.0,25.0
insider_threat,config,1024,25.0,25.0,25.0
insider_threat,config,2048,25.0,25.0,25.0
insider_threat,config,3072,25.0,25.0,150.0
insider_threat,config,4096,25.0,25.0,50.0
insider_threat,config,5120,25.0,25.0,25.0
insider_threat,config,6144,25.0,25.0,25.0
insider_threat,transfer,42,25.0,150.0,
insider_threat,transfer,123,100.0,200.0,
insider_threat,transfer,456,50.0,150.0,
insider_threat,transfer,789,25.0,150.0,
insider_threat,transfer,1024,100.0,150.0,
insider_threat,transfer,2048,50.0,100.0,
insider_threat,transfer,3072,25.0,150.0,
insider_threat,transfer,4096,100.0,200.0,
insider_threat,transfer,5120,50.0,100.0,
insider_threat,transfer,6144,25.0,50.0,
