distribution,kernel,seed,overall_accuracy,acc_credential,acc_threat,acc_lateral,acc_exfil,acc_insider
original,l2,42,0.9778,0.992,0.984,0.942,0.9925,0.9785
original,l2,123,0.9795,0.989,0.9885,0.952,0.991,0.977
original,l2,456,0.9801,0.9925,0.984,0.9565,0.9935,0.974
original,l2,789,0.979,0.9925,0.9835,0.9485,0.9925,0.978
original,l2,1024,0.9763,0.988,0.9825,0.945,0.989,0.977
original,l2,2048,0.9796,0.9895,0.984,0.951,0.993,0.9805
original,l2,3072,0.9807,0.9915,0.986,0.9575,0.991,0.9775
original,l2,4096,0.9769,0.987,0.979,0.943,0.996,0.9795
original,l2,5120,0.9798,0.9915,0.985,0.9525,0.991,0.979
original,l2,6144,0.979,0.989,0.987,0.947,0.9885,0.9835
original,cosine,42,0.9603,0.984,0.973,0.9085,0.975,0.961
original,cosine,123,0.9656,0.984,0.9815,0.92,0.9805,0.962
original,cosine,456,0.9647,0.987,0.9735,0.9255,0.979,0.9585
original,cosine,789,0.9634,0.9885,0.9695,0.919,0.9745,0.9655
original,cosine,1024,0.959,0.977,0.9695,0.9105,0.974,0.964
original,cosine,2048,0.9683,0.9885,0.9775,0.9275,0.9835,0.9645
original,cosine,3072,0.9675,0.9865,0.9825,0.928,0.974,0.9665
original,cosine,4096,0.9643,0.981,0.973,0.915,0.983,0.9695
original,cosine,5120,0.967,0.9855,0.979,0.9205,0.9815,0.9685
original,cosine,6144,0.9621,0.985,0.9775,0.9015,0.9765,0.97
original,dot,42,0.605,0.705,0.5105,0.7805,0.594,0.435
original,dot,123,0.6114,0.7135,0.513,0.7735,0.5985,0.4585
original,dot,456,0.6071,0.727,0.51,0.7805,0.5825,0.4355
original,dot,789,0.6073,0.692,0.525,0.782,0.5945,0.443
original,dot,1024,0.6048,0.6855,0.513,0.7705,0.609,0.446
original,dot,2048,0.6075,0.6955,0.521,0.7545,0.611,0.4555
original,dot,3072,0.6107,0.716,0.5145,0.7715,0.597,0.4545
original,dot,4096,0.6175,0.7015,0.5355,0.7745,0.621,0.455
original,dot,5120,0.6112,0.6895,0.517,0.79,0.603,0.4565
original,dot,6144,0.6172,0.7015,0.554,0.7675,0.5975,0.4655
original,mahalanobis,42,0.9744,0.9935,0.982,0.9255,0.992,0.979
original,mahalanobis,123,0.9776,0.9915,0.9885,0.942,0.9905,0.9755
original,mahalanobis,456,0.9786,0.9925,0.9855,0.9465,0.992,0.9765
original,mahalanobis,789,0.9778,0.993,0.982,0.941,0.9935,0.9795
original,mahalanobis,1024,0.974,0.987,0.981,0.935,0.9895,0.9775
original,mahalanobis,2048,0.9782,0.988,0.984,0.946,0.9925,0.9805
original,mahalanobis,3072,0.9781,0.991,0.9845,0.946,0.9905,0.9785
original,mahalanobis,4096,0.9744,0.987,0.977,0.933,0.9945,0.9805
original,mahalanobis,5120,0.9768,0.988,0.986,0.942,0.99,0.978
original,mahalanobis,6144,0.9765,0.9895,0.9865,0.9345,0.988,0.984
normalized,l2,42,0.9765,0.9915,0.984,0.9385,0.9905,0.978
normalized,l2,123,0.9781,0.9895,0.9875,0.949,0.9895,0.975
normalized,l2,456,0.98,0.9935,0.984,0.957,0.9925,0.973
normalized,l2,789,0.9788,0.992,0.98,0.95,0.9935,0.9785
normalized,l2,1024,0.9745,0.9855,0.9805,0.9425,0.988,0.976
normalized,l2,2048,0.9785,0.989,0.9835,0.949,0.9935,0.9775
normalized,l2,3072,0.9799,0.9905,0.986,0.956,0.9905,0.9765
normalized,l2,4096,0.9766,0.9875,0.98,0.9425,0.995,0.978
normalized,l2,5120,0.9793,0.992,0.985,0.9495,0.992,0.978
normalized,l2,6144,0.9796,0.9915,0.9865,0.948,0.989,0.983
normalized,cosine,42,0.9683,0.9865,0.9785,0.9305,0.978,0.968
normalized,cosine,123,0.9673,0.984,0.98,0.9325,0.984,0.956
