day,n_seeds,gap_mean,ci95_low,ci95_high
1,30,6.333333333333747e-05,4.5031484334214414e-05,8.163518233246052e-05
2,30,-0.00831333333333332,-0.008329545600381372,-0.008297121066285268
3,30,-0.016300000000000005,-0.01631961225113026,-0.01628038774886975
4,30,-0.02393,-0.02395225364032659,-0.02390774635967341
5,30,-0.031223333333333325,-0.03124455477991704,-0.03120211188674961
6,30,-0.038146666666666655,-0.0381756459384731,-0.03811768739486021
7,30,-0.044793333333333324,-0.04482095343680077,-0.044765713229865875
8,30,-0.05112333333333335,-0.0511522295301333,-0.051094437136533395
9,30,-0.05717333333333334,-0.05720720825783434,-0.05713945840883234
10,30,-0.06297000000000001,-0.06300274423765154,-0.06293725576234849
11,30,-0.07536666666666667,-0.07541088493594736,-0.07532244839738597
12,30,-0.08688333333333333,-0.08693145667182856,-0.0868352099948381
13,30,-0.09762666666666667,-0.0976812061237902,-0.09757212720954313
14,30,-0.10760666666666664,-0.1076686343459093,-0.10754469898742398
15,30,-0.11690333333333335,-0.11697231392634574,-0.11683435274032095
16,30,-0.12554999999999997,-0.12562054278916016,-0.12547945721083978
17,30,-0.13360333333333335,-0.13368268623995894,-0.13352398042670777
18,30,-0.14108666666666667,-0.1411747764010526,-0.14099855693228072
19,30,-0.14808000000000004,-0.14817114950641097,-0.14798885049358912
20,30,-0.15455,-0.1546484282984403,-0.15445157170155968
21,30,-0.16058333333333333,-0.16068668605117878,-0.16047998061548788
22,30,-0.1662,-0.1663078673812164,-0.16609213261878358
23,30,-0.17141,-0.17152740762383326,-0.17129259237616676
24,30,-0.1762666666666667,-0.17639044675005433,-0.1761428865832791
25,30,-0.1807766666666666,-0.18090477960966045,-0.18064855372367278
26,30,-0.18498333333333333,-0.18512064827304114,-0.18484601839362552
27,30,-0.18889666666666666,-0.18903481939701824,-0.18875851393631507
28,30,-0.19251333333333331,-0.19266260992286435,-0.19236405674380228
29,30,-0.19591,-0.19606639156332317,-0.19575360843667683
30,30,-0.19904666666666673,-0.1992065195475741,-0.19888681378575937
31,30,-0.2019666666666666,-0.20213143681314688,-0.20180189652018632
32,30,-0.20469,-0.20485994612562286,-0.20452005387437716
33,30,-0.20720666666666668,-0.20738397414414195,-0.2070293591891914
34,30,-0.20955333333333334,-0.20973854540774237,-0.20936812125892432
35,30,-0.2117333333333333,-0.21192457373396517,-0.21154209293270143
36,30,-0.21373666666666663,-0.2139387022060823,-0.21353463112725096
37,30,-0.21563333333333334,-0.21583699249925126,-0.21542967416741543
38,30,-0.21737,-0.21757874613452746,-0.21716125386547255
39,30,-0.21898999999999996,-0.2192026708780629,-0.21877732912193704
