lambda,seed,accuracy,ece,acc_credential_access,acc_threat_intel_match,acc_lateral_movement,acc_data_exfiltration,acc_insider_threat,act_auto_close,act_escalate_tier2,act_enrich_and_watch,act_escalate_incident
0.0,42,97.8,0.050828,100.0,100.0,95.1923,94.3925,100.0,0.204,0.22,0.276,0.3
0.0,123,97.8,0.048396,97.8495,100.0,98.0,92.8571,100.0,0.186,0.25,0.29,0.274
0.0,456,96.8,0.053321,97.8723,100.0,96.2264,89.3617,100.0,0.166,0.256,0.278,0.3
0.0,789,96.8,0.051794,98.1818,98.1651,97.0874,90.4762,98.9362,0.242,0.228,0.236,0.294
0.0,1024,96.6,0.053916,99.0476,99.0,92.2414,93.1818,100.0,0.19,0.234,0.272,0.304
0.0,2048,95.6,0.042512,100.0,100.0,89.6226,92.1569,97.0874,0.19,0.244,0.26,0.306
0.0,3072,96.6,0.048068,98.1132,98.0952,94.0,91.6667,100.0,0.196,0.266,0.256,0.282
0.0,4096,96.6,0.036007,98.0583,98.9474,94.382,91.8367,99.1304,0.19,0.228,0.288,0.294
0.0,5120,97.8,0.052966,99.0476,100.0,95.3704,95.6044,99.0476,0.218,0.232,0.254,0.296
0.0,6144,96.4,0.053386,98.1982,100.0,95.098,91.0891,98.1308,0.194,0.232,0.238,0.336
0.05,42,97.8,0.050838,100.0,100.0,95.1923,94.3925,100.0,0.204,0.22,0.276,0.3
0.05,123,97.8,0.0484,97.8495,100.0,98.0,92.8571,100.0,0.186,0.25,0.29,0.274
0.05,456,96.8,0.053315,97.8723,100.0,96.2264,89.3617,100.0,0.166,0.256,0.278,0.3
0.05,789,96.8,0.051787,98.1818,98.1651,97.0874,90.4762,98.9362,0.242,0.228,0.236,0.294
0.05,1024,96.6,0.052352,99.0476,99.0,92.2414,93.1818,100.0,0.19,0.234,0.272,0.304
0.05,2048,95.6,0.045648,100.0,100.0,89.6226,92.1569,97.0874,0.19,0.244,0.26,0.306
0.05,3072,96.6,0.04806,98.1132,98.0952,94.0,91.6667,100.0,0.196,0.266,0.256,0.282
0.05,4096,96.6,0.036038,98.0583,98.9474,94.382,91.8367,99.1304,0.19,0.228,0.288,0.294
0.05,5120,97.8,0.052984,99.0476,100.0,95.3704,95.6044,99.0476,0.218,0.232,0.254,0.296
0.05,6144,96.2,0.051375,98.1982,98.7342,95.098,91.0891,98.1308,0.194,0.234,0.236,0.336
0.1,42,97.8,0.050881,100.0,100.0,95.1923,94.3925,100.0,0.204,0.22,0.276,0.3
0.1,123,97.8,0.04847,97.8495,100.0,98.0,92.8571,100.0,0.186,0.25,0.29,0.274
0.1,456,96.8,0.053303,97.8723,100.0,96.2264,89.3617,100.0,0.166,0.256,0.278,0.3
0.1,789,97.0,0.049794,98.1818,99.0826,97.0874,90.4762,98.9362,0.242,0.23,0.234,0.294
0.1,1024,96.6,0.052353,99.0476,99.0,92.2414,93.1818,100.0,0.19,0.234,0.272,0.304
0.1,2048,95.6,0.045444,100.0,100.0,89.6226,92.1569,97.0874,0.19,0.244,0.26,0.306
0.1,3072,96.6,0.045324,98.1132,98.0952,94.0,91.6667,100.0,0.196,0.266,0.256,0.282
0.1,4096,96.6,0.036137,98.0583,98.9474,94.382,91.8367,99.1304,0.19,0.228,0.288,0.294
0.1,5120,97.8,0.053072,99.0476,100.0,95.3704,95.6044,99.0476,0.218,0.232,0.254,0.296
0.1,6144,96.2,0.051264,98.1982,98.7342,95.098,91.0891,98.1308,0.194,0.234,0.236,0.336
0.2,42,97.6,0.049154,99.1071,100.0,95.1923,94.3925,100.0,0.206,0.218,0.276,0.3
0.2,123,97.6,0.048341,97.8495,99.0654,98.0,92.8571,100.0,0.186,0.252,0.288,0.274
0.2,456,96.8,0.053364,97.8723,100.0,96.2264,89.3617,100.0,0.166,0.256,0.278,0.3
0.2,789,97.0,0.052458,98.1818,99.0826,97.0874,90.4762,98.9362,0.242,0.23,0.234,0.294
0.2,1024,96.0,0.053565,99.0476,96.0,92.2414,93.1818,100.0,0.19,0.24,0.266,0.304
0.2,2048,95.6,0.04259,100.0,100.0,89.6226,92.1569,97.0874,0.19,0.244,0.26,0.306
0.2,3072,96.2,0.046521,98.1132,96.1905,94.0,91.6667,100.0,0.196,0.27,0.252,0.282
0.2,4096,96.4,0.036377,98.0583,97.8947,94.382,91.8367,99.1304,0.19,0.23,0.286,0.294
0.2,5120,97.8,0.053979,99.0476,100.0,95.3704,95.6044,99.0476,0.218,0.232,0.254,0.296
0.2,6144,96.2,0.051338,98.1982,98.7342,95.098,91.0891,98.1308,0.194,0.234,0.236,0.336
