condition,noise_level,lambda,seed,accuracy,ece,acc_credential_access,acc_threat_intel_match,acc_lateral_movement,acc_data_exfiltration,acc_insider_threat
cold_start,0.0,0.0,42,21.4,0.67346,14.2857,35.7143,10.5769,45.7944,1.0753
cold_start,0.0,0.0,123,30.2,0.543298,38.7097,31.7757,66.0,15.3061,0.0
cold_start,0.0,0.0,456,51.8,0.291045,29.7872,60.0,80.1887,29.7872,54.1667
cold_start,0.0,0.0,789,24.4,0.621443,11.8182,46.789,23.301,30.9524,8.5106
cold_start,0.0,0.0,1024,33.4,0.444189,60.0,3.0,25.8621,34.0909,45.0549
cold_start,0.0,0.0,2048,25.4,0.566518,13.7931,29.4118,16.9811,1.9608,63.1068
cold_start,0.0,0.0,3072,36.6,0.477367,10.3774,40.0,51.0,67.8571,20.9524
cold_start,0.0,0.0,4096,23.6,0.581165,12.6214,68.4211,6.7416,13.2653,18.2609
cold_start,0.0,0.0,5120,26.4,0.580775,33.3333,3.2967,12.963,61.5385,22.8571
cold_start,0.0,0.0,6144,14.6,0.687243,9.009,0.0,13.7255,19.802,27.1028
cold_start,0.0,0.05,42,21.4,0.673025,14.2857,35.7143,10.5769,45.7944,1.0753
cold_start,0.0,0.05,123,30.4,0.541343,39.7849,31.7757,66.0,15.3061,0.0
cold_start,0.0,0.05,456,51.8,0.290196,29.7872,60.0,80.1887,29.7872,54.1667
cold_start,0.0,0.05,789,24.6,0.619145,12.7273,46.789,23.301,30.9524,8.5106
cold_start,0.0,0.05,1024,33.4,0.443922,60.0,3.0,25.8621,34.0909,45.0549
cold_start,0.0,0.05,2048,25.2,0.565362,13.7931,28.4314,16.9811,1.9608,63.1068
cold_start,0.0,0.05,3072,36.6,0.477239,10.3774,40.0,51.0,67.8571,20.9524
cold_start,0.0,0.05,4096,23.6,0.580787,12.6214,68.4211,6.7416,13.2653,18.2609
cold_start,0.0,0.05,5120,26.2,0.582736,33.3333,3.2967,12.963,61.5385,21.9048
cold_start,0.0,0.05,6144,14.6,0.687384,9.009,0.0,13.7255,19.802,27.1028
cold_start,0.0,0.1,42,21.0,0.675621,14.2857,35.7143,10.5769,44.8598,0.0
cold_start,0.0,0.1,123,31.0,0.535953,43.0108,31.7757,66.0,15.3061,0.0
cold_start,0.0,0.1,456,51.4,0.291462,28.7234,59.0909,80.1887,29.7872,54.1667
cold_start,0.0,0.1,789,24.6,0.618019,13.6364,46.789,22.3301,30.9524,8.5106
cold_start,0.0,0.1,1024,33.0,0.446792,60.0,3.0,25.0,32.9545,45.0549
cold_start,0.0,0.1,2048,25.2,0.569364,13.7931,28.4314,16.9811,1.9608,63.1068
cold_start,0.0,0.1,3072,36.2,0.480799,10.3774,40.0,50.0,66.6667,20.9524
cold_start,0.0,0.1,4096,23.2,0.583557,11.6505,68.4211,6.7416,13.2653,17.3913
cold_start,0.0,0.1,5120,25.4,0.591694,33.3333,2.1978,12.963,61.5385,19.0476
cold_start,0.0,0.1,6144,14.0,0.693863,9.009,0.0,13.7255,17.8218,26.1682
cold_start,0.0,0.2,42,20.4,0.676519,15.1786,35.7143,10.5769,41.1215,0.0
cold_start,0.0,0.2,123,32.2,0.530214,54.8387,28.972,64.0,15.3061,0.0
cold_start,0.0,0.2,456,50.8,0.292432,27.6596,58.1818,79.2453,29.7872,54.1667
cold_start,0.0,0.2,789,25.4,0.606506,21.8182,47.7064,19.4175,27.381,8.5106
cold_start,0.0,0.2,1024,32.6,0.44862,63.8095,2.0,25.0,28.4091,43.956
cold_start,0.0,0.2,2048,25.0,0.58355,13.7931,28.4314,16.9811,1.9608,62.1359
cold_start,0.0,0.2,3072,35.8,0.484486,10.3774,37.1429,50.0,67.8571,20.9524
cold_start,0.0,0.2,4096,22.2,0.587982,10.6796,67.3684,5.618,13.2653,15.6522
cold_start,0.0,0.2,5120,24.0,0.610818,35.2381,1.0989,12.963,61.5385,11.4286
cold_start,0.0,0.2,6144,13.2,0.703344,9.009,0.0,13.7255,13.8614,26.1682
cold_start,0.0,0.3,42,19.6,0.670371,16.9643,33.3333,11.5385,35.514,1.0753
cold_start,0.0,0.3,123,33.6,0.534296,63.4409,28.972,63.0,15.3061,0.0
cold_start,0.0,0.3,456,50.0,0.273336,29.7872,52.7273,78.3019,29.7872,55.2083
cold_start,0.0,0.3,789,26.6,0.591602,33.6364,48.6239,15.534,23.8095,7.4468
cold_start,0.0,0.3,1024,29.2,0.497749,65.7143,1.0,20.6897,15.9091,41.7582
cold_start,0.0,0.3,2048,24.0,0.600446,13.7931,25.4902,16.9811,2.9412,59.2233
cold_start,0.0,0.3,3072,34.8,0.49165,9.434,37.1429,47.0,66.6667,20.9524
cold_start,0.0,0.3,4096,19.2,0.61453,7.767,66.3158,3.3708,14.2857,6.9565
cold_start,0.0,0.3,5120,22.0,0.64002,35.2381,0.0,12.963,61.5385,2.8571
cold_start,0.0,0.3,6144,13.2,0.704298,14.4144,3.7975,9.8039,10.8911,24.2991
cold_start,0.0,0.5,42,23.4,0.627437,44.6429,29.7619,11.5385,22.4299,6.4516
cold_start,0.0,0.5,123,33.0,0.561205,67.7419,26.1682,60.0,14.2857,0.0
cold_start,0.0,0.5,456,44.4,0.350052,45.7447,40.0,70.7547,22.3404,40.625
cold_start,0.0,0.5,789,27.4,0.604113,52.7273,52.2936,8.7379,10.7143,4.2553
cold_start,0.0,0.5,1024,25.0,0.589379,68.5714,1.0,13.7931,3.4091,36.2637
cold_start,0.0,0.5,2048,24.0,0.61933,13.7931,25.4902,16.9811,5.8824,56.3107
cold_start,0.0,0.5,3072,30.0,0.535229,8.4906,26.6667,41.0,59.5238,20.9524
cold_start,0.0,0.5,4096,16.2,0.677809,0.9709,68.4211,0.0,15.3061,0.0
cold_start,0.0,0.5,5120,22.4,0.640495,40.0,1.0989,12.963,60.4396,0.0
cold_start,0.0,0.5,6144,17.6,0.675651,45.9459,7.5949,5.8824,1.9802,21.4953
noise_50pct,0.5,0.0,42,53.2,0.394198,20.5357,70.2381,85.5769,57.9439,35.4839
noise_50pct,0.5,0.0,123,66.6,0.22884,72.043,81.3084,67.0,58.1633,53.9216
noise_50pct,0.5,0.0,456,81.6,0.122117,77.6596,100.0,73.5849,85.1064,69.7917
noise_50pct,0.5,0.0,789,64.8,0.228164,70.0,55.0459,85.4369,64.2857,47.8723
noise_50pct,0.5,0.0,1024,55.4,0.355897,80.9524,56.0,47.4138,18.1818,71.4286
noise_50pct,0.5,0.0,2048,62.4,0.268062,83.908,47.0588,58.4906,54.902,70.8738
noise_50pct,0.5,0.0,3072,59.8,0.292486,82.0755,46.6667,69.0,34.5238,61.9048
noise_50pct,0.5,0.0,4096,37.6,0.509909,34.9515,66.3158,29.2135,13.2653,43.4783
noise_50pct,0.5,0.0,5120,64.8,0.252237,52.381,94.5055,70.3704,56.044,53.3333
noise_50pct,0.5,0.0,6144,55.0,0.291571,63.0631,46.8354,50.9804,47.5248,63.5514
noise_50pct,0.5,0.05,42,53.2,0.394314,20.5357,70.2381,85.5769,57.9439,35.4839
noise_50pct,0.5,0.05,123,66.6,0.227867,72.043,81.3084,67.0,58.1633,53.9216
noise_50pct,0.5,0.05,456,81.6,0.122157,77.6596,100.0,73.5849,85.1064,69.7917
noise_50pct,0.5,0.05,789,64.6,0.229101,70.0,54.1284,85.4369,64.2857,47.8723
noise_50pct,0.5,0.05,1024,55.4,0.355843,80.9524,56.0,47.4138,18.1818,71.4286
noise_50pct,0.5,0.05,2048,62.4,0.267897,83.908,47.0588,58.4906,54.902,70.8738
noise_50pct,0.5,0.05,3072,59.8,0.292499,82.0755,46.6667,69.0,34.5238,61.9048
noise_50pct,0.5,0.05,4096,37.6,0.509951,34.9515,66.3158,29.2135,13.2653,43.4783
noise_50pct,0.5,0.05,5120,64.8,0.25228,52.381,94.5055,70.3704,56.044,53.3333
noise_50pct,0.5,0.05,6144,55.0,0.29246,63.0631,46.8354,50.9804,47.5248,63.5514
noise_50pct,0.5,0.1,42,53.0,0.395992,20.5357,69.0476,85.5769,57.9439,35.4839
noise_50pct,0.5,0.1,123,66.4,0.231093,72.043,80.3738,67.0,58.1633,53.9216
noise_50pct,0.5,0.1,456,81.8,0.120289,78.7234,100.0,73.5849,85.1064,69.7917
noise_50pct,0.5,0.1,789,64.4,0.231256,70.0,54.1284,84.466,64.2857,47.8723
