lambda,seed,recovery_decision,never_recovered,final_acc
0.0,42,2000,1,42.0
0.0,123,2000,1,56.0
0.0,456,2000,1,58.0
0.0,789,2000,1,73.0
0.0,1024,2000,1,59.0
0.0,2048,2000,1,55.0
0.0,3072,2000,1,52.0
0.0,4096,2000,1,59.0
0.0,5120,2000,1,32.0
0.0,6144,2000,1,59.0
0.1,42,2000,1,42.0
0.1,123,2000,1,56.0
0.1,456,2000,1,56.0
0.1,789,2000,1,73.0
0.1,1024,2000,1,53.0
0.1,2048,2000,1,45.0
0.1,3072,2000,1,52.0
0.1,4096,2000,1,54.0
0.1,5120,2000,1,31.0
0.1,6144,2000,1,59.0
0.2,42,2000,1,42.0
0.2,123,2000,1,55.0
0.2,456,2000,1,54.0
0.2,789,2000,1,73.0
0.2,1024,2000,1,53.0
0.2,2048,2000,1,44.0
0.2,3072,2000,1,52.0
0.2,4096,2000,1,54.0
0.2,5120,2000,1,31.0
0.2,6144,2000,1,59.0
0.5,42,2000,1,45.0
0.5,123,2000,1,58.0
0.5,456,2000,1,54.0
0.5,789,2000,1,72.0
0.5,1024,2000,1,52.0
0.5,2048,2000,1,33.0
0.5,3072,2000,1,55.0
0.5,4096,2000,1,54.0
0.5,5120,2000,1,26.0
0.5,6144,2000,1,62.0
