condition,volume,q_bar,margin,seed,alarm_fired,alarm_index,t_damage,lead_time,miss,baseline_q,k_used
adversarial,50,0.6,0.02,6050000,False,,150,,True,0.6016,0.5816
adversarial,50,0.6,0.02,6050001,False,,414,,True,0.4629,0.4429
adversarial,50,0.6,0.02,6050002,False,,,,,0.6167,0.5967
adversarial,50,0.6,0.02,6050003,True,79,,,,0.7276,0.7076
adversarial,50,0.6,0.02,6050004,True,303,,,,0.6426,0.6226
adversarial,50,0.6,0.02,6050005,True,82,,,,0.8262,0.8062
adversarial,50,0.6,0.02,6050006,False,,324,,True,0.5716,0.5516
adversarial,50,0.6,0.02,6050007,False,,203,,True,0.5735,0.5535
adversarial,50,0.6,0.02,6050008,True,204,146,-58,True,0.6944,0.6744
adversarial,50,0.6,0.02,6050009,True,400,,,,0.6788,0.6588
adversarial,50,0.6,0.02,6050010,True,89,,,,0.7048,0.6848
adversarial,50,0.6,0.02,6050011,True,147,148,1,False,0.6626,0.6426
adversarial,50,0.6,0.02,6050012,True,100,349,249,False,0.7021,0.6821
adversarial,50,0.6,0.02,6050013,True,97,,,,0.7895,0.7695
adversarial,50,0.6,0.02,6050014,False,,172,,True,0.6080,0.5880
adversarial,50,0.6,0.02,6050015,True,469,187,-282,True,0.6324,0.6124
adversarial,50,0.6,0.02,6050016,True,141,472,331,False,0.7559,0.7359
adversarial,50,0.6,0.02,6050017,True,111,301,190,False,0.6978,0.6778
adversarial,50,0.6,0.02,6050018,True,82,358,276,False,0.9287,0.9087
adversarial,50,0.6,0.02,6050019,True,129,231,102,False,0.7225,0.7025
adversarial,50,0.6,0.02,6050020,False,,240,,True,0.4925,0.4725
adversarial,50,0.6,0.02,6050021,True,242,484,242,False,0.6662,0.6462
adversarial,50,0.6,0.02,6050022,False,,,,,0.5535,0.5335
adversarial,50,0.6,0.02,6050023,True,469,,,,0.6161,0.5961
adversarial,50,0.6,0.02,6050024,False,,491,,True,0.5692,0.5492
adversarial,50,0.6,0.02,6050025,True,181,178,-3,True,0.6961,0.6761
adversarial,50,0.6,0.02,6050026,True,202,161,-41,True,0.6669,0.6469
adversarial,50,0.6,0.02,6050027,True,111,463,352,False,0.7543,0.7343
adversarial,50,0.6,0.02,6050028,True,76,,,,0.8135,0.7935
adversarial,50,0.6,0.02,6050029,True,89,441,352,False,0.6932,0.6732
adversarial,50,0.6,0.03,6050000,False,,150,,True,0.6016,0.5716
adversarial,50,0.6,0.03,6050001,False,,414,,True,0.4629,0.4329
adversarial,50,0.6,0.03,6050002,False,,,,,0.6167,0.5867
adversarial,50,0.6,0.03,6050003,True,80,,,,0.7276,0.6976
adversarial,50,0.6,0.03,6050004,False,,,,,0.6426,0.6126
adversarial,50,0.6,0.03,6050005,True,83,,,,0.8262,0.7962
adversarial,50,0.6,0.03,6050006,False,,324,,True,0.5716,0.5416
adversarial,50,0.6,0.03,6050007,False,,203,,True,0.5735,0.5435
adversarial,50,0.6,0.03,6050008,True,257,146,-111,True,0.6944,0.6644
adversarial,50,0.6,0.03,6050009,False,,,,,0.6788,0.6488
adversarial,50,0.6,0.03,6050010,True,93,,,,0.7048,0.6748
adversarial,50,0.6,0.03,6050011,True,152,148,-4,True,0.6626,0.6326
adversarial,50,0.6,0.03,6050012,True,104,349,245,False,0.7021,0.6721
adversarial,50,0.6,0.03,6050013,True,99,,,,0.7895,0.7595
adversarial,50,0.6,0.03,6050014,False,,172,,True,0.6080,0.5780
adversarial,50,0.6,0.03,6050015,True,494,187,-307,True,0.6324,0.6024
adversarial,50,0.6,0.03,6050016,True,146,472,326,False,0.7559,0.7259
adversarial,50,0.6,0.03,6050017,True,303,301,-2,True,0.6978,0.6678
adversarial,50,0.6,0.03,6050018,True,84,358,274,False,0.9287,0.8987
adversarial,50,0.6,0.03,6050019,True,131,231,100,False,0.7225,0.6925
adversarial,50,0.6,0.03,6050020,False,,240,,True,0.4925,0.4625
adversarial,50,0.6,0.03,6050021,True,476,484,8,False,0.6662,0.6362
adversarial,50,0.6,0.03,6050022,False,,,,,0.5535,0.5235
adversarial,50,0.6,0.03,6050023,True,489,,,,0.6161,0.5861
adversarial,50,0.6,0.03,6050024,False,,491,,True,0.5692,0.5392
adversarial,50,0.6,0.03,6050025,True,183,178,-5,True,0.6961,0.6661
adversarial,50,0.6,0.03,6050026,True,205,161,-44,True,0.6669,0.6369
adversarial,50,0.6,0.03,6050027,True,120,463,343,False,0.7543,0.7243
adversarial,50,0.6,0.03,6050028,True,76,,,,0.8135,0.7835
adversarial,50,0.6,0.03,6050029,True,90,441,351,False,0.6932,0.6632
adversarial,50,0.6,0.05,6050000,False,,150,,True,0.6016,0.5516
adversarial,50,0.6,0.05,6050001,False,,414,,True,0.4629,0.4129
adversarial,50,0.6,0.05,6050002,False,,,,,0.6167,0.5667
